"","Symbol","freq_bill_code","freq_customer_code","FullName"
"7834","2113",1,1,"湖南天润数字娱乐文化传媒股份有限公司"
"7836","2114",1,1,"云南罗平锌电股份有限公司"
"7838","2115",16,17,"三维通信股份有限公司"
"7863","2116",7,7,"中国海诚工程科技股份有限公司"
"7871","2117",5,10,"东港股份有限公司"
"7886","2118",2,2,"吉林紫鑫药业股份有限公司"
"7888","2119",2,3,"宁波康强电子股份有限公司"
"7893","2121",12,16,"深圳市科陆电子科技股份有限公司"
"7916","2122",15,15,"天马轴承集团股份有限公司"
"7933","2123",1,2,"梦网荣信科技集团股份有限公司"
"7935","2124",3,3,"天邦食品股份有限公司"
"7938","2125",1,1,"湘潭电化科技股份有限公司"
"7940","2126",2,2,"浙江银轮机械股份有限公司"
"7943","2127",6,14,"南极电商股份有限公司"
"7957","2129",1,1,"天津中环半导体股份有限公司"
"7959","2130",21,25,"深圳市沃尔核材股份有限公司"
"7982","2130",21,25,"深圳市沃尔核材股份有限公司湖北分公司"
"7995","2131",2,2,"利欧集团股份有限公司"
"7998","2132",1,1,"河南恒星科技股份有限公司"
"8000","2133",653,678,"广宇集团股份有限公司"
"8658","2134",2,2,"天津普林电路股份有限公司"
"8662","2135",1,1,"浙江东南网架股份有限公司"
"8664","2136",1,1,"安徽安纳达钛业股份有限公司"
"8666","2137",2,2,"深圳市麦达数字股份有限公司"
"8670","2138",2,2,"深圳顺络电子股份有限公司"
"8674","2139",1,1,"深圳拓邦股份有限公司"
"8676","2140",1,1,"东华工程科技股份有限公司"
"8678","2142",36,83,"宁波银行股份有限公司"
"8762","2144",1,1,"宏达高科控股股份有限公司"
"8764","2145",4,4,"中核华原钛白股份有限公司"
"8768","2146",2,2,"荣盛房地产发展股份有限公司"
"8772","2147",1,1,"新光圆成股份有限公司"
"8774","2148",1,1,"北京北纬通信科技股份有限公司"
"8775","2149",2,2,"西部金属材料股份有限公司"
"8779","2151",3,4,"北京北斗星通导航技术股份有限公司"
"8787","2152",4,39,"深圳广电银通金融电子科技有限公司"
"8790","2152",4,39,"广州广电运通金融电子股份有限公司"
